MLII,V2
-0.375,0.05
-0.375,0.05
-0.375,0.05
-0.375,0.05
-0.375,0.05
-0.375,0.05
-0.375,0.05
-0.375,0.05
-0.385,0.05
-0.385,0.035
-0.385,0.035
-0.38,0.05
-0.36,0.065
-0.36,0.065
-0.37,0.04
-0.365,0.045
-0.37,0.035
-0.36,0.055
-0.355,0.07
-0.345,0.075
-0.34,0.065
-0.345,0.055
-0.345,0.07
-0.33,0.08
-0.325,0.09
-0.31,0.085
-0.305,0.09
-0.31,0.085
-0.31,0.085
-0.3,0.105
-0.28,0.12
-0.25,0.125
-0.25,0.12
-0.245,0.125
-0.235,0.135
-0.22,0.145
-0.195,0.16
-0.165,0.165
-0.16,0.175
-0.16,0.17
-0.135,0.18
-0.12,0.21
-0.09,0.23
-0.06,0.235
-0.045,0.24
-0.035,0.255
-0.015,0.255
0.0,0.275
0.03,0.3
0.06,0.295
0.07,0.315
0.075,0.315
0.075,0.335
0.1,0.35
0.11,0.35
0.135,0.355
0.13,0.355
0.145,0.35
0.135,0.355
0.16,0.37
0.165,0.39
0.175,0.395
0.185,0.385
0.175,0.37
0.165,0.365
0.17,0.38
0.16,0.385
0.15,0.375
0.14,0.37
0.12,0.345
0.085,0.345
0.08,0.335
0.07,0.33
0.055,0.31
0.02,0.28
-0.005,0.265
-0.05,0.25
-0.065,0.24
-0.085,0.225
-0.095,0.205
-0.125,0.18
-0.145,0.165
-0.165,0.145
-0.175,0.135
-0.185,0.13
-0.205,0.125
-0.215,0.105
-0.22,0.085
-0.23,0.075
-0.245,0.08
-0.24,0.08
-0.245,0.075
-0.245,0.06
-0.265,0.04
-0.265,0.04
-0.265,0.05
-0.26,0.065
-0.255,0.05
-0.27,0.04
-0.265,0.03
-0.275,0.03
-0.265,0.035
-0.275,0.045
-0.265,0.045
-0.27,0.035
-0.265,0.025
-0.28,0.015
-0.285,0.02
-0.275,0.035
-0.26,0.045
-0.25,0.045
-0.265,0.04
-0.27,0.025
-0.265,0.045
-0.24,0.06
-0.245,0.06
-0.25,0.045
-0.25,0.04
-0.255,0.05
-0.24,0.055
-0.23,0.07
-0.225,0.07
-0.23,0.07
-0.24,0.05
-0.24,0.055
-0.24,0.065
-0.22,0.065
-0.22,0.075
-0.22,0.065
-0.225,0.06
-0.24,0.065
-0.235,0.07
-0.215,0.09
-0.22,0.07
-0.23,0.06
-0.23,0.065
-0.235,0.055
-0.235,0.065
-0.22,0.065
-0.215,0.08
-0.23,0.075
-0.24,0.07
-0.25,0.06
-0.245,0.06
-0.24,0.065
-0.24,0.07
-0.235,0.05
-0.25,0.045
-0.255,0.045
-0.255,0.05
-0.25,0.06
-0.245,0.05
-0.255,0.04
-0.27,0.03
-0.27,0.02
-0.265,0.02
-0.26,0.04
-0.255,0.025
-0.27,0.025
-0.28,0.025
-0.29,0.01
-0.285,0.015
-0.285,0.03
-0.29,0.01
-0.29,0.0
-0.29,-0.01
-0.3,-0.01
-0.295,-0.005
-0.3,0.005
-0.3,0.0
-0.305,-0.005
-0.3,-0.02
-0.32,-0.02
-0.315,-0.01
-0.315,-0.01
-0.3,-0.01
-0.31,-0.025
-0.31,-0.035
-0.325,-0.03
-0.325,-0.02
-0.32,-0.015
-0.32,-0.015
-0.31,-0.03
-0.325,-0.045
-0.325,-0.04
-0.32,-0.04
-0.315,-0.02
-0.295,-0.035
-0.275,-0.03
-0.28,-0.045
-0.28,-0.04
-0.265,-0.025
-0.255,-0.015
-0.245,-0.015
-0.24,-0.025
-0.235,-0.035
-0.245,-0.03
-0.24,-0.015
-0.235,-0.005
-0.215,-0.01
-0.215,-0.02
-0.215,-0.03
-0.23,-0.025
-0.22,-0.02
-0.21,-0.01
-0.205,-0.02
-0.215,-0.015
-0.215,-0.035
-0.245,-0.04
-0.255,-0.04
-0.25,-0.04
-0.26,-0.06
-0.27,-0.07
-0.27,-0.085
-0.27,-0.1
-0.255,-0.09
-0.25,-0.055
-0.255,-0.055
-0.26,-0.035
-0.295,-0.035
-0.315,-0.045
-0.32,-0.025
-0.325,-0.03
-0.33,-0.035
-0.34,-0.045
-0.355,-0.07
-0.38,-0.07
-0.385,-0.06
-0.38,-0.05
-0.38,-0.055
-0.395,-0.065
-0.41,-0.075
-0.405,-0.085
-0.41,-0.075
-0.405,-0.065
-0.4,-0.075
-0.39,-0.08
