MLII,V1
0.0,0.125
0.0,0.125
0.0,0.125
0.0,0.125
0.0,0.125
0.0,0.125
0.0,0.125
0.0,0.125
0.0,0.125
0.005,0.13
0.015,0.145
0.025,0.17
0.035,0.16
0.035,0.14
0.015,0.135
0.015,0.13
0.025,0.14
0.05,0.145
0.06,0.14
0.055,0.12
0.04,0.115
0.045,0.125
0.065,0.13
0.085,0.125
0.095,0.11
0.085,0.105
0.085,0.08
0.085,0.09
0.105,0.105
0.125,0.1
0.135,0.085
0.135,0.07
0.135,0.06
0.145,0.06
0.15,0.06
0.175,0.07
0.195,0.045
0.2,0.02
0.18,0.015
0.19,0.015
0.215,0.03
0.255,0.035
0.27,0.025
0.275,0.005
0.265,0.005
0.27,-0.005
0.28,0.0
0.305,0.015
0.325,0.0
0.32,0.0
0.325,-0.015
0.32,0.005
0.335,0.005
0.35,0.03
0.355,0.015
0.335,0.01
0.325,0.015
0.315,0.03
0.315,0.04
0.31,0.08
0.29,0.075
0.265,0.07
0.235,0.075
0.215,0.09
0.195,0.12
0.18,0.13
0.17,0.11
0.14,0.09
0.105,0.095
0.085,0.105
0.09,0.11
0.085,0.12
0.075,0.125
0.045,0.105
0.01,0.11
-0.01,0.12
-0.01,0.135
0.005,0.145
0.005,0.13
-0.015,0.115
-0.03,0.115
-0.045,0.125
-0.045,0.125
-0.025,0.14
-0.03,0.135
-0.03,0.11
-0.05,0.105
-0.07,0.115
-0.05,0.125
-0.04,0.145
-0.035,0.135
-0.05,0.12
-0.07,0.12
-0.07,0.12
-0.06,0.14
-0.045,0.145
-0.045,0.13
-0.06,0.115
-0.06,0.115
-0.075,0.115
-0.05,0.13
-0.04,0.14
-0.03,0.145
-0.035,0.13
-0.06,0.13
-0.085,0.145
-0.065,0.15
-0.045,0.17
-0.045,0.165
-0.05,0.155
-0.065,0.14
-0.075,0.14
-0.06,0.15
-0.055,0.155
-0.05,0.15
-0.06,0.145
-0.08,0.14
-0.085,0.155
-0.075,0.175
-0.045,0.175
-0.04,0.165
