MLII,V1
-0.01,-0.615
-0.01,-0.615
-0.01,-0.615
-0.01,-0.615
-0.01,-0.615
-0.01,-0.615
-0.01,-0.615
-0.01,-0.615
-0.01,-0.62
-0.035,-0.61
-0.07,-0.595
-0.1,-0.555
-0.125,-0.555
-0.15,-0.53
-0.16,-0.525
-0.175,-0.525
-0.18,-0.51
-0.195,-0.505
-0.225,-0.495
-0.255,-0.485
-0.31,-0.485
-0.34,-0.48
-0.37,-0.485
-0.385,-0.475
-0.4,-0.475
-0.405,-0.44
-0.395,-0.39
-0.395,-0.37
-0.39,-0.35
-0.395,-0.325
-0.385,-0.305
-0.39,-0.29
-0.395,-0.265
-0.395,-0.255
-0.415,-0.26
-0.41,-0.26
-0.4,-0.27
-0.355,-0.305
-0.32,-0.33
-0.275,-0.35
-0.215,-0.37
-0.16,-0.42
-0.135,-0.45
-0.12,-0.49
-0.115,-0.525
-0.105,-0.55
-0.09,-0.57
-0.08,-0.58
-0.075,-0.58
-0.05,-0.57
-0.055,-0.585
-0.085,-0.58
-0.13,-0.595
-0.19,-0.605
-0.265,-0.605
-0.325,-0.64
-0.38,-0.665
-0.425,-0.675
-0.45,-0.7
-0.465,-0.69
-0.5,-0.68
-0.5,-0.66
-0.5,-0.675
-0.49,-0.665
-0.475,-0.66
-0.47,-0.67
-0.475,-0.69
-0.485,-0.71
-0.485,-0.705
-0.505,-0.705
-0.505,-0.7
-0.51,-0.69
-0.495,-0.69
-0.49,-0.69
-0.485,-0.685
-0.48,-0.68
-0.5,-0.675
-0.505,-0.675
-0.5,-0.65
-0.49,-0.64
-0.49,-0.61
-0.485,-0.57
-0.505,-0.53
-0.53,-0.52
-0.56,-0.585
-0.56,-0.775
-0.505,-1.065
-0.38,-1.455
-0.175,-1.87
0.105,-2.24
0.445,-2.505
0.815,-2.68
1.215,-2.74
1.575,-2.735
1.855,-2.7
1.965,-2.65
1.88,-2.6
1.62,-2.545
1.26,-2.465
0.86,-2.37
0.43,-2.205
0.01,-1.965
-0.375,-1.655
-0.72,-1.38
-1.01,-1.16
-1.21,-1.03
-1.325,-0.97
-1.32,-0.93
-1.23,-0.915
-1.1,-0.88
-0.96,-0.86
-0.845,-0.82
-0.78,-0.785
-0.75,-0.765
-0.76,-0.755
-0.8,-0.75
-0.85,-0.76
-0.885,-0.765
-0.905,-0.76
-0.9,-0.745
-0.905,-0.73
-0.895,-0.715
-0.905,-0.705
-0.92,-0.685
-0.93,-0.665
-0.935,-0.665
-0.93,-0.65
-0.92,-0.66
-0.91,-0.655
-0.905,-0.645
-0.92,-0.65
-0.925,-0.64
-0.94,-0.615
-0.94,-0.61
-0.935,-0.59
-0.93,-0.58
-0.915,-0.555
-0.9,-0.53
-0.885,-0.51
-0.89,-0.51
-0.905,-0.505
-0.91,-0.505
-0.905,-0.49
-0.885,-0.46
-0.85,-0.44
-0.815,-0.405
-0.795,-0.385
