MLII,V1
0.35,0.105
0.35,0.105
0.35,0.105
0.35,0.105
0.35,0.105
0.35,0.105
0.35,0.105
0.35,0.105
0.35,0.105
0.02,0.115
-0.21,0.09
-0.33,0.075
-0.37,0.095
-0.335,0.115
-0.285,0.09
-0.23,0.085
-0.215,0.09
-0.2,0.085
-0.19,0.07
-0.2,0.075
-0.2,0.09
-0.21,0.095
-0.23,0.07
-0.25,0.03
-0.255,0.04
-0.245,0.07
-0.24,0.065
-0.215,0.04
-0.235,0.04
-0.23,0.045
-0.23,0.04
-0.205,0.015
-0.18,0.04
-0.165,0.05
-0.195,0.06
-0.21,0.04
-0.215,0.03
-0.195,0.06
-0.17,0.085
-0.155,0.07
-0.175,0.045
-0.195,0.05
-0.21,0.065
-0.2,0.09
-0.2,0.08
-0.195,0.075
-0.185,0.075
-0.185,0.05
-0.18,0.045
-0.175,0.065
-0.175,0.07
-0.165,0.085
-0.14,0.075
-0.12,0.045
-0.115,0.06
-0.13,0.075
-0.155,0.06
-0.19,0.035
-0.19,0.04
-0.185,0.055
-0.18,0.07
-0.16,0.06
-0.14,0.07
-0.13,0.07
-0.11,0.07
-0.12,0.055
-0.13,0.04
-0.13,0.05
-0.125,0.08
-0.095,0.085
-0.095,0.06
-0.09,0.05
-0.08,0.065
-0.075,0.08
-0.07,0.07
-0.075,0.05
-0.065,0.065
-0.055,0.06
-0.06,0.075
-0.055,0.055
-0.04,0.06
-0.03,0.08
-0.02,0.065
-0.015,0.05
-0.015,0.04
-0.01,0.065
0.015,0.095
0.035,0.075
0.025,0.05
0.015,0.065
0.015,0.07
0.025,0.06
0.025,0.055
0.04,0.05
0.04,0.07
0.03,0.065
0.015,0.065
0.02,0.07
0.035,0.085
0.045,0.09
0.05,0.06
0.025,0.035
0.02,0.055
0.02,0.085
0.01,0.095
0.01,0.08
0.0,0.08
-0.005,0.075
-0.025,0.075
-0.02,0.07
-0.03,0.07
-0.03,0.085
-0.035,0.075
-0.045,0.06
-0.055,0.055
-0.06,0.085
-0.065,0.105
-0.075,0.085
-0.08,0.06
-0.075,0.045
-0.075,0.06
-0.075,0.085
-0.07,0.09
-0.075,0.075
-0.08,0.085
-0.09,0.09
-0.1,0.095
-0.095,0.08
-0.095,0.075
-0.085,0.08
-0.095,0.095
-0.1,0.08
-0.1,0.085
-0.115,0.085
-0.115,0.095
-0.13,0.09
-0.14,0.06
-0.15,0.05
-0.16,0.085
-0.145,0.1
-0.155,0.095
-0.16,0.08
-0.17,0.09
-0.185,0.085
-0.175,0.085
-0.17,0.08
-0.165,0.075
-0.17,0.09
-0.17,0.105
-0.165,0.07
-0.18,0.075
-0.18,0.08
-0.2,0.105
-0.2,0.095
-0.215,0.075
-0.205,0.045
-0.21,0.065
-0.205,0.1
-0.21,0.09
-0.22,0.075
-0.225,0.08
-0.225,0.08
-0.24,0.075
-0.225,0.06
-0.21,0.055
-0.205,0.085
-0.195,0.095
-0.19,0.07
-0.2,0.065
-0.19,0.09
-0.19,0.105
-0.185,0.115
-0.17,0.075
-0.17,0.07
-0.175,0.09
-0.165,0.11
-0.165,0.105
-0.185,0.09
-0.185,0.085
-0.205,0.09
-0.205,0.085
-0.21,0.08
-0.195,0.06
-0.195,0.09
-0.19,0.09
-0.195,0.06
-0.195,0.065
-0.195,0.065
-0.185,0.09
-0.175,0.085
-0.175,0.045
-0.2,0.025
-0.225,0.04
-0.25,0.07
-0.24,0.055
-0.24,0.03
-0.24,0.02
-0.25,0.02
-0.26,0.03
-0.27,0.015
-0.28,-0.015
-0.305,0.0
-0.335,0.015
-0.35,0.0
-0.34,-0.025
-0.285,-0.03
-0.205,-0.02
-0.135,-0.02
-0.095,-0.055
-0.045,-0.08
0.01,-0.07
0.075,-0.04
0.14,-0.055
0.175,-0.065
0.135,-0.095
0.045,-0.08
-0.155,-0.065
-0.425,-0.07
-0.71,-0.085
-0.915,-0.065
-1.09,-0.05
-1.255,-0.06
-1.395,-0.08
-1.465,-0.08
-1.505,-0.03
-1.49,-0.02
-1.45,-0.025
-1.39,-0.05
-1.34,-0.005
-1.27,0.03
-1.155,0.045
-1.025,0.045
-0.95,0.025
-0.93,0.03
-0.93,0.05
-0.91,0.04
-0.885,0.03
-0.865,0.015
-0.84,0.04
-0.8,0.04
-0.755,0.025
-0.715,0.02
-0.66,0.035
-0.63,0.055
-0.58,0.04
-0.54,0.01
-0.51,0.015
-0.465,0.04
-0.435,0.07
-0.395,0.07
-0.365,0.045
-0.315,0.055
-0.265,0.08
-0.2,0.09
-0.155,0.09
-0.09,0.08
-0.04,0.09
-0.015,0.1
-0.01,0.105
0.005,0.1
0.03,0.1
0.055,0.13
0.08,0.13
0.085,0.095
0.09,0.09
0.11,0.09
0.11,0.135
0.13,0.14
0.15,0.115
0.155,0.1
0.15,0.115
0.18,0.15
0.185,0.135
0.205,0.115
0.22,0.11
0.235,0.125
