MLII,V1
-0.155,-0.095
-0.155,-0.095
-0.155,-0.095
-0.155,-0.095
-0.155,-0.095
-0.155,-0.095
-0.155,-0.095
-0.155,-0.095
-0.17,-0.105
-0.175,-0.13
-0.195,-0.14
-0.22,-0.125
-0.21,-0.085
-0.215,-0.055
-0.24,-0.03
-0.26,-0.03
-0.265,-0.035
-0.27,-0.055
-0.28,-0.065
-0.29,-0.07
-0.285,-0.06
-0.3,-0.045
-0.305,-0.05
-0.32,-0.06
-0.345,-0.015
-0.34,0.015
-0.325,0.06
-0.305,0.075
-0.305,0.05
-0.31,0.015
-0.32,0.0
-0.32,0.04
-0.31,0.08
-0.315,0.1
-0.34,0.095
-0.36,0.06
-0.375,0.07
-0.355,0.08
-0.35,0.1
-0.335,0.095
-0.345,0.06
-0.365,0.045
-0.4,0.05
-0.4,0.075
-0.365,0.07
-0.37,0.055
-0.34,0.045
-0.355,0.045
-0.35,0.045
-0.355,0.04
-0.37,0.035
-0.37,0.025
-0.355,0.02
-0.35,0.0
-0.355,0.0
-0.355,0.005
-0.375,0.005
-0.385,0.02
-0.405,0.015
-0.435,0.025
-0.415,0.005
-0.355,-0.005
-0.3,-0.01
-0.275,-0.005
-0.275,-0.005
-0.27,0.01
-0.27,0.035
-0.265,0.075
-0.265,0.085
-0.26,0.085
-0.25,0.065
-0.235,0.025
-0.21,0.015
-0.18,0.01
-0.165,0.03
-0.18,0.055
-0.19,0.07
-0.19,0.065
-0.175,0.055
-0.165,0.035
-0.16,-0.015
-0.18,-0.105
-0.23,-0.17
-0.28,-0.18
-0.31,-0.145
-0.33,-0.125
-0.325,-0.125
-0.33,-0.125
-0.335,-0.17
-0.34,-0.195
-0.345,-0.215
-0.33,-0.22
-0.35,-0.21
-0.355,-0.2
-0.385,-0.22
-0.405,-0.21
-0.43,-0.195
-0.43,-0.16
-0.4,-0.145
-0.4,-0.17
-0.39,-0.185
-0.38,-0.2
-0.37,-0.21
-0.355,-0.23
-0.365,-0.215
-0.345,-0.195
-0.345,-0.23
-0.39,-0.27
-0.41,-0.29
-0.415,-0.275
-0.425,-0.255
-0.39,-0.24
-0.385,-0.245
-0.395,-0.24
-0.41,-0.25
-0.405,-0.255
-0.435,-0.24
-0.435,-0.24
-0.41,-0.215
-0.38,-0.2
-0.37,-0.175
-0.36,-0.155
-0.36,-0.13
-0.39,-0.13
-0.39,-0.125
-0.375,-0.095
-0.345,-0.07
-0.325,-0.07
-0.33,-0.075
-0.335,-0.09
-0.335,-0.115
-0.36,-0.085
-0.37,-0.065
-0.35,-0.04
-0.29,-0.05
-0.23,-0.08
-0.185,-0.075
-0.205,-0.085
-0.265,-0.055
-0.285,-0.015
-0.27,-0.005
-0.28,-0.03
