MLII,V1
0.175,0.635
0.175,0.635
0.175,0.635
0.175,0.635
0.175,0.635
0.175,0.635
0.175,0.635
0.175,0.635
0.175,0.635
0.18,0.635
0.185,0.645
0.21,0.62
0.23,0.615
0.22,0.595
0.195,0.58
0.16,0.57
0.095,0.58
0.06,0.595
0.085,0.59
0.15,0.585
0.195,0.58
0.16,0.575
0.065,0.59
0.055,0.59
0.12,0.585
0.22,0.57
0.24,0.545
0.2,0.56
0.16,0.575
0.14,0.59
0.14,0.6
0.125,0.6
0.11,0.575
0.1,0.585
0.11,0.595
0.135,0.62
0.14,0.625
0.105,0.62
0.055,0.6
0.03,0.6
0.01,0.595
0.015,0.61
-0.015,0.61
-0.035,0.615
-0.06,0.61
-0.09,0.595
-0.125,0.62
-0.125,0.655
-0.11,0.66
-0.11,0.65
-0.11,0.605
-0.13,0.565
-0.13,0.545
-0.135,0.55
-0.14,0.565
-0.15,0.58
-0.175,0.58
-0.16,0.58
-0.165,0.58
-0.17,0.585
-0.185,0.585
-0.195,0.58
-0.18,0.57
-0.165,0.555
-0.175,0.56
-0.2,0.59
-0.215,0.59
-0.215,0.575
-0.185,0.57
-0.17,0.555
-0.19,0.55
-0.23,0.545
-0.23,0.565
-0.21,0.565
-0.175,0.545
-0.16,0.525
-0.17,0.525
-0.19,0.56
-0.195,0.56
-0.19,0.55
-0.165,0.53
-0.16,0.525
-0.18,0.54
-0.19,0.545
-0.175,0.535
-0.18,0.52
-0.175,0.52
-0.195,0.515
-0.2,0.535
-0.18,0.57
-0.185,0.57
-0.195,0.575
-0.21,0.59
-0.245,0.61
-0.24,0.625
-0.185,0.63
-0.08,0.605
0.025,0.56
0.11,0.49
0.17,0.4
0.2,0.345
0.205,0.31
0.235,0.225
0.33,0.1
0.425,-0.085
0.535,-0.26
0.6,-0.37
0.63,-0.395
0.61,-0.365
0.575,-0.365
0.55,-0.375
0.535,-0.34
0.52,-0.285
0.49,-0.22
0.445,-0.18
0.39,-0.13
0.33,-0.095
0.27,-0.06
0.22,-0.01
0.175,0.045
0.095,0.07
-0.02,0.095
-0.145,0.1
-0.28,0.13
-0.405,0.17
-0.49,0.2
-0.545,0.23
-0.57,0.255
-0.62,0.265
-0.66,0.285
-0.7,0.31
-0.69,0.325
-0.67,0.345
-0.66,0.355
-0.655,0.36
-0.66,0.38
-0.64,0.41
-0.615,0.445
-0.595,0.45
-0.59,0.47
-0.575,0.465
-0.58,0.47
-0.58,0.485
-0.56,0.515
-0.515,0.51
-0.485,0.53
-0.475,0.515
-0.485,0.51
-0.485,0.52
-0.465,0.525
-0.46,0.535
-0.46,0.52
-0.46,0.52
-0.47,0.51
-0.475,0.535
-0.465,0.535
-0.47,0.535
-0.485,0.535
-0.485,0.525
-0.505,0.52
-0.505,0.535
-0.5,0.545
-0.49,0.535
-0.49,0.53
-0.495,0.525
-0.505,0.53
-0.53,0.535
-0.53,0.56
-0.52,0.56
-0.5,0.555
-0.495,0.525
-0.505,0.53
-0.52,0.525
-0.515,0.535
-0.505,0.53
-0.505,0.525
-0.515,0.52
-0.515,0.51
-0.52,0.53
-0.5,0.535
-0.485,0.535
-0.495,0.53
-0.49,0.515
-0.485,0.51
-0.48,0.495
-0.48,0.505
-0.48,0.51
-0.455,0.505
-0.45,0.49
-0.435,0.48
-0.445,0.485
-0.415,0.49
-0.415,0.485
-0.405,0.475
-0.395,0.465
-0.385,0.46
-0.385,0.465
-0.37,0.48
-0.35,0.475
-0.35,0.47
-0.365,0.44
-0.375,0.43
-0.35,0.42
-0.305,0.45
-0.265,0.43
-0.255,0.42
-0.275,0.42
-0.285,0.39
-0.28,0.38
-0.24,0.39
-0.21,0.38
-0.215,0.37
-0.225,0.36
-0.22,0.34
-0.24,0.355
-0.23,0.35
-0.2,0.345
-0.19,0.32
-0.18,0.3
-0.185,0.305
-0.195,0.295
-0.185,0.31
-0.155,0.295
-0.16,0.285
-0.175,0.27
-0.185,0.26
-0.185,0.25
-0.18,0.265
-0.17,0.25
-0.17,0.25
-0.18,0.24
-0.175,0.24
-0.165,0.24
-0.145,0.255
-0.125,0.255
-0.125,0.23
-0.135,0.23
-0.16,0.21
-0.185,0.225
-0.195,0.21
-0.16,0.225
-0.145,0.215
-0.15,0.18
-0.18,0.17
-0.21,0.175
-0.19,0.19
-0.18,0.185
-0.185,0.18
-0.215,0.16
-0.235,0.15
-0.24,0.155
-0.2,0.16
-0.16,0.17
-0.145,0.165
-0.175,0.155
-0.195,0.16
-0.2,0.16
-0.19,0.175
-0.17,0.18
-0.185,0.17
-0.205,0.15
-0.22,0.15
-0.215,0.16
-0.195,0.175
-0.185,0.17
-0.195,0.165
-0.21,0.17
-0.24,0.16
-0.265,0.185
-0.275,0.175
-0.295,0.175
-0.32,0.185
-0.355,0.175
-0.375,0.16
-0.405,0.165
-0.425,0.185
-0.435,0.175
-0.45,0.18
