MLII,V1
-0.69,-0.38
-0.69,-0.38
-0.69,-0.38
-0.69,-0.38
-0.69,-0.38
-0.69,-0.38
-0.69,-0.38
-0.67,-0.38
-0.635,-0.38
-0.6,-0.385
-0.535,-0.385
-0.42,-0.35
-0.24,-0.32
0.02,-0.28
0.375,-0.23
0.77,-0.22
1.13,-0.24
1.375,-0.33
1.435,-0.475
1.225,-0.645
0.72,-0.865
0.08,-1.04
-0.56,-1.16
-1.2,-1.155
-1.685,-1.07
-1.61,-0.94
-1.355,-0.8
-1.1,-0.675
-0.91,-0.58
-0.815,-0.515
-0.79,-0.49
-0.82,-0.465
-0.845,-0.45
-0.865,-0.44
-0.865,-0.43
-0.87,-0.42
-0.87,-0.415
-0.87,-0.4
-0.865,-0.385
-0.865,-0.37
-0.87,-0.36
-0.855,-0.345
-0.86,-0.35
-0.86,-0.355
-0.86,-0.355
-0.865,-0.365
-0.865,-0.36
-0.87,-0.355
-0.86,-0.345
-0.85,-0.36
-0.855,-0.345
-0.82,-0.34
-0.815,-0.345
-0.815,-0.32
-0.815,-0.33
-0.815,-0.325
-0.805,-0.335
-0.795,-0.325
-0.79,-0.34
-0.8,-0.35
-0.8,-0.345
-0.79,-0.345
-0.775,-0.335
-0.775,-0.325
-0.765,-0.315
-0.755,-0.31
-0.75,-0.305
-0.745,-0.315
-0.74,-0.335
-0.735,-0.34
-0.735,-0.335
-0.74,-0.335
-0.755,-0.32
-0.74,-0.325
-0.73,-0.31
-0.72,-0.305
-0.71,-0.32
-0.695,-0.315
-0.69,-0.32
-0.675,-0.315
-0.675,-0.33
-0.68,-0.32
-0.675,-0.32
-0.67,-0.32
-0.67,-0.325
-0.67,-0.325
-0.655,-0.315
-0.65,-0.315
-0.635,-0.305
-0.63,-0.3
-0.62,-0.3
-0.615,-0.305
-0.605,-0.305
-0.595,-0.32
-0.6,-0.315
-0.595,-0.32
-0.595,-0.32
-0.59,-0.3
-0.58,-0.29
-0.575,-0.285
-0.565,-0.275
-0.55,-0.28
-0.55,-0.295
-0.55,-0.305
-0.55,-0.31
-0.56,-0.31
-0.55,-0.32
-0.555,-0.315
-0.555,-0.315
-0.545,-0.31
-0.52,-0.315
-0.49,-0.31
-0.465,-0.3
-0.47,-0.305
-0.46,-0.315
-0.46,-0.32
-0.445,-0.325
-0.44,-0.33
-0.44,-0.355
-0.42,-0.35
-0.41,-0.36
-0.42,-0.37
-0.415,-0.36
-0.42,-0.35
-0.425,-0.36
-0.43,-0.355
-0.445,-0.375
-0.46,-0.365
-0.48,-0.385
-0.495,-0.405
-0.515,-0.405
-0.545,-0.41
-0.55,-0.395
-0.58,-0.4
-0.59,-0.38
-0.595,-0.385
-0.6,-0.38
-0.61,-0.38
-0.625,-0.39
-0.645,-0.395
-0.66,-0.405
-0.67,-0.395
-0.685,-0.395
-0.685,-0.4
-0.695,-0.4
-0.695,-0.395
-0.695,-0.39
-0.69,-0.385
-0.695,-0.375
