MLII,V1
-5.955,-5.635
-5.955,-5.635
-5.955,-5.635
-5.955,-5.635
-5.955,-5.635
-5.955,-5.635
-5.955,-5.635
-5.935,-5.635
-5.935,-5.605
-5.95,-5.62
-5.96,-5.635
-5.97,-5.67
-5.995,-5.71
-6.005,-5.755
-6.04,-5.77
-6.09,-5.785
-6.13,-5.76
-6.16,-5.745
-6.185,-5.735
-6.215,-5.735
-6.205,-5.735
-6.185,-5.77
-6.19,-5.795
-6.18,-5.8
-6.17,-5.81
-6.18,-5.825
-6.18,-5.805
-6.185,-5.805
-6.185,-5.795
-6.185,-5.76
-6.2,-5.76
-6.2,-5.765
-6.235,-5.75
-6.235,-5.75
-6.215,-5.76
-6.19,-5.76
-6.175,-5.785
-6.175,-5.795
-6.195,-5.81
-6.22,-5.8
-6.22,-5.81
-6.235,-5.8
-6.23,-5.805
-6.23,-5.815
-6.225,-5.82
-6.225,-5.825
-6.23,-5.815
-6.22,-5.8
-6.225,-5.805
-6.21,-5.77
-6.21,-5.775
-6.2,-5.78
-6.185,-5.82
-6.2,-5.84
-6.17,-5.885
-6.155,-5.965
-6.115,-6.05
-6.02,-6.155
-5.875,-6.295
-5.69,-6.45
-5.515,-6.605
-5.395,-6.73
-5.355,-6.79
-5.36,-6.73
-5.35,-6.62
-5.32,-6.445
-5.25,-6.295
-5.135,-6.16
-5.01,-6.03
-4.895,-5.875
-4.875,-5.63
-4.965,-5.315
-5.26,-5.01
-5.695,-4.78
-6.2,-4.715
-6.62,-4.82
-6.91,-5.05
-7.04,-5.33
-7.1,-5.565
-7.13,-5.73
-7.17,-5.815
-7.24,-5.86
-7.29,-5.895
-7.29,-5.92
-7.26,-5.975
-7.195,-6.045
-7.18,-6.105
-7.165,-6.125
-7.145,-6.13
-7.105,-6.09
-7.07,-6.07
-7.02,-6.085
-6.92,-6.07
-6.805,-6.08
-6.69,-6.05
-6.565,-6.04
-6.455,-5.995
-6.35,-5.96
-6.295,-5.88
-6.26,-5.82
-6.27,-5.765
-6.29,-5.72
-6.29,-5.685
-6.26,-5.685
-6.215,-5.705
-6.18,-5.725
-6.22,-5.74
-6.3,-5.73
-6.35,-5.715
-6.33,-5.705
-6.215,-5.72
-6.105,-5.755
-6.08,-5.79
-6.115,-5.83
-6.155,-5.825
-6.19,-5.84
