"record 118_12, signal 0","record 118_12, signal 1"
-0.64,-0.515
-0.835,-0.515
-0.835,-0.515
-0.835,-0.515
-0.835,-0.515
-0.835,-0.515
-0.835,-0.515
-0.815,-0.515
-0.815,-0.485
-0.83,-0.5
-0.84,-0.515
-0.85,-0.55
-0.875,-0.59
-0.885,-0.635
-0.92,-0.65
-0.97,-0.665
-1.01,-0.64
-1.04,-0.625
-1.065,-0.615
-1.095,-0.615
-1.085,-0.615
-1.065,-0.65
-1.07,-0.675
-1.06,-0.68
-1.05,-0.69
-1.06,-0.705
-1.06,-0.685
-1.065,-0.685
-1.065,-0.675
-1.065,-0.64
-1.08,-0.64
-1.08,-0.645
-1.115,-0.63
-1.115,-0.63
-1.095,-0.64
-1.07,-0.64
-1.055,-0.665
-1.055,-0.675
-1.075,-0.69
-1.1,-0.68
-1.1,-0.69
-1.115,-0.68
-1.11,-0.685
-1.11,-0.695
-1.105,-0.7
-1.105,-0.705
-1.11,-0.695
-1.1,-0.68
-1.105,-0.685
-1.09,-0.65
-1.09,-0.655
-1.08,-0.66
-1.065,-0.7
-1.08,-0.72
-1.05,-0.765
-1.035,-0.845
-0.995,-0.93
-0.9,-1.035
-0.755,-1.175
-0.57,-1.33
-0.395,-1.485
-0.275,-1.61
-0.235,-1.67
-0.24,-1.61
-0.23,-1.5
-0.2,-1.325
-0.13,-1.175
-0.015,-1.04
0.11,-0.91
0.225,-0.755
0.245,-0.51
0.155,-0.195
-0.14,0.11
-0.575,0.34
-1.08,0.405
-1.5,0.3
-1.79,0.07
-1.92,-0.21
-1.98,-0.445
-2.01,-0.61
-2.05,-0.695
-2.12,-0.74
-2.17,-0.775
-2.17,-0.8
-2.14,-0.855
-2.075,-0.925
-2.06,-0.985
-2.045,-1.005
-2.025,-1.01
-1.985,-0.97
-1.95,-0.95
-1.9,-0.965
-1.8,-0.95
-1.685,-0.96
-1.57,-0.93
-1.445,-0.92
-1.335,-0.875
-1.23,-0.84
-1.175,-0.76
-1.14,-0.7
-1.15,-0.645
-1.17,-0.6
-1.17,-0.565
-1.14,-0.565
-1.095,-0.585
-1.06,-0.605
-1.1,-0.62
-1.18,-0.61
-1.23,-0.595
-1.21,-0.585
-1.095,-0.6
-0.985,-0.635
-0.96,-0.67
-0.995,-0.71
-1.035,-0.705
-1.07,-0.72
-1.08,-0.705
-1.04,-0.72
-1.015,-0.755
-0.995,-0.775
-1.01,-0.785
-1.045,-0.8
-1.085,-0.785
-1.115,-0.77
-1.105,-0.775
-1.105,-0.785
-1.125,-0.83
-1.14,-0.885
